Time,Sensor,Steps
34.28284001350403,698,33
34.333577394485474,696,33
34.3837366104126,697,33
34.43300175666809,697,33
34.483558654785156,696,33
34.53362512588501,697,33
34.58291172981262,698,33
34.633004903793335,698,33
34.683223724365234,699,33
34.73358154296875,697,33
34.78376054763794,699,33
34.833616733551025,698,33
34.8837947845459,698,33
34.933603048324585,698,33
34.98379111289978,699,33
35.033517599105835,699,33
35.08369779586792,699,33
35.13396668434143,700,33
35.18329620361328,700,33
35.23354768753052,700,33
35.28373408317566,699,33
35.333569288253784,701,33
35.383748054504395,699,33
35.43354558944702,699,33
35.483718395233154,701,33
35.53365421295166,699,33
35.58283996582031,700,33
35.63361883163452,700,33
35.68359565734863,701,33
35.73285388946533,698,33
35.7835009098053,700,33
35.833534240722656,698,33
35.88380408287048,700,33
35.93354821205139,699,33
35.98376250267029,700,33
36.03355097770691,701,33
36.08373999595642,699,33
36.133997678756714,699,33
36.1832914352417,699,33
36.23357820510864,700,33
36.28376746177673,700,33
36.333558320999146,700,33
36.3837308883667,699,33
36.43355917930603,701,33
36.48373317718506,699,33
36.533658266067505,700,33
36.582847118377686,700,33
36.633596897125244,700,33
36.68359136581421,699,33
36.732850074768066,699,33
36.78352952003479,700,33
36.83354711532593,699,33
36.88282227516174,699,33
36.933576583862305,700,33
36.98353981971741,699,33
37.03383684158325,700,33
37.08352780342102,699,33
37.13402986526489,697,33
37.18356418609619,699,33
37.23375177383423,699,33
37.283562660217285,699,33
37.333781480789185,696,33
37.383564472198486,689,34
37.43376111984253,680,34
37.48356032371521,674,34
37.533753871917725,672,34
37.58356738090515,666,34
37.63376784324646,663,35
37.68355870246887,656,35
37.73376178741455,655,35
37.7835955619812,648,35
37.83378458023071,643,36
37.883564472198486,639,36
37.93379068374634,630,37
37.98355317115784,627,37
38.033738136291504,621,38
38.083584785461426,614,38
38.13404822349548,611,39
38.18356776237488,608,40
38.233776569366455,608,40
38.28358221054077,606,41
38.33377456665039,605,42
38.38355851173401,605,42
38.43375635147095,612,43
38.48356008529663,631,44
38.53378748893738,645,44
38.58357119560242,656,45
38.633760929107666,668,45
38.683571100234985,677,46
38.7337703704834,690,46
38.783567905426025,690,46
38.8337664604187,701,46
38.88355779647827,710,47
38.93378782272339,710,47
38.9836266040802,719,47
39.03284025192261,723,47
39.08363151550293,727,47
39.13385462760925,734,48
39.183032274246216,737,48
39.23363018035889,740,48
39.283594369888306,745,48
39.33285212516785,747,48
39.38361358642578,749,48
39.43356275558472,751,48
39.48282527923584,752,48
39.53365731239319,755,48
39.5836226940155,756,48
39.63288116455078,757,49
39.683549642562866,757,49
39.73361015319824,758,49
39.78297996520996,758,49
39.83360767364502,758,49
39.8835654258728,758,49
39.93283748626709,758,49
39.983642578125,757,49
40.033570766448975,757,49
40.082839488983154,758,49
40.13385081291199,756,48
40.18357539176941,758,48
40.23283672332764,758,48
40.28357553482056,756,48
40.333574056625366,753,48
40.382848501205444,753,48
40.43355703353882,750,48
40.48356366157532,748,48
40.532827615737915,746,48
40.583532094955444,743,48
40.63358759880066,740,48
40.682884216308594,737,48
40.73359251022339,735,48
40.7835750579834,733,47
40.832833766937256,731,47
40.883588790893555,730,47
40.93360209465027,730,47
40.98287510871887,727,47
41.03349018096924,726,47
41.083606004714966,724,47
41.133174657821655,723,47
41.18355083465576,720,47
41.23374390602112,721,47
41.283623695373535,720,47
41.33283185958862,718,47
41.383541107177734,718,47
41.433626890182495,717,47
41.4828245639801,716,47
41.533594608306885,716,47
41.58363652229309,714,47
41.632906436920166,714,47
41.68357872962952,712,47
41.73361778259277,712,47
41.78290128707886,712,47
41.833678245544434,709,47
41.8836236000061,711,47
41.93292689323425,709,47
41.9836106300354,709,46
42.0336058139801,709,46
42.082966327667236,708,46
42.13389468193054,708,46
42.18360209465027,706,46
42.23287081718445,707,46
42.28357911109924,706,46
42.33358383178711,706,46
42.38283562660217,704,46
42.433616161346436,706,46
42.483598947525024,707,46
42.53286957740784,707,46
42.583587884902954,706,46
42.63356900215149,706,46
42.68282341957092,706,46
42.73360300064087,706,46
42.78360414505005,704,46
42.83288550376892,705,46
42.883620500564575,705,46
42.93361282348633,702,46
42.98288679122925,703,46
43.03358554840088,705,46
43.083592653274536,704,46
43.13317131996155,703,46
43.18361687660217,704,46
43.23381471633911,704,46
43.283615589141846,703,46
43.333818435668945,703,46
43.38361668586731,701,46
43.43382000923157,703,46
43.48360586166382,702,46
43.53380632400513,704,46
43.58363080024719,702,46
43.63281869888306,701,46
43.68361210823059,701,46
43.73361945152283,702,46
43.783788442611694,702,46
43.83355212211609,701,46
43.88373303413391,701,46
43.93360996246338,700,46
43.983814001083374,701,46
44.03374624252319,701,46
44.0829291343689,702,46
44.13394737243652,701,46
44.1836154460907,702,46
44.232879638671875,700,46
44.28360152244568,702,46
44.333590269088745,701,46
44.38286828994751,701,46
44.433626651763916,700,46
44.48360466957092,700,46
44.5329053401947,699,46
44.58362817764282,700,46
44.633626222610474,701,46
44.68289303779602,700,46
44.733598709106445,700,46
44.78358221054077,701,46
44.83283734321594,700,46
44.88358449935913,700,46
44.93362879753113,700,46
44.98290514945984,700,46
45.03364109992981,699,46
45.08360719680786,699,46
45.133161306381226,700,46
45.18367648124695,700,46
45.23361587524414,699,46
45.282874584198,701,46
45.333606243133545,701,46
45.38359880447388,701,46
45.43285799026489,704,46
45.483593225479126,709,46
